escena,entrada,gt_People,gt_Lamp,tp_People,tp_Lamp,recupera_People,recupera_Lamp,recupera_ambas
00392,RatioPiramide,4,2,3,2,1,1,1
00392,DWT,4,2,1,2,1,1,1
00392,DTCWT,4,2,3,2,1,1,1
00392,Curvelet,4,2,2,2,1,1,1
00392,TopHat_Clasico,4,2,2,2,1,1,1
00392,Propuesta_Novedosa,4,2,3,2,1,1,1
00394,VIS,6,2,3,2,1,1,1
00394,IR,6,2,6,2,1,1,1
00394,PiramideLaplace,6,2,6,2,1,1,1
00394,RatioPiramide,6,2,6,2,1,1,1
00394,DWT,6,2,5,2,1,1,1
00394,DTCWT,6,2,6,2,1,1,1
00394,Curvelet,6,2,6,2,1,1,1
00394,TopHat_Clasico,6,2,5,2,1,1,1
00394,Propuesta_Novedosa,6,2,6,2,1,1,1
00395,VIS,7,2,4,2,1,1,1
00395,IR,7,2,5,2,1,1,1
00395,PiramideLaplace,7,2,5,2,1,1,1
00395,RatioPiramide,7,2,5,2,1,1,1
00395,DWT,7,2,3,2,1,1,1
00395,DTCWT,7,2,5,2,1,1,1
00395,Curvelet,7,2,5,2,1,1,1
00395,TopHat_Clasico,7,2,5,1,1,1,1
00395,Propuesta_Novedosa,7,2,5,2,1,1,1
00396,VIS,6,2,2,2,1,1,1
00396,IR,6,2,4,2,1,1,1
00396,PiramideLaplace,6,2,4,2,1,1,1
00396,RatioPiramide,6,2,4,2,1,1,1
00396,DWT,6,2,1,2,1,1,1
00396,DTCWT,6,2,4,2,1,1,1
00396,Curvelet,6,2,4,2,1,1,1
00396,TopHat_Clasico,6,2,3,2,1,1,1
00396,Propuesta_Novedosa,6,2,4,2,1,1,1
00409,VIS,5,1,2,1,1,1,1
00409,IR,5,1,4,1,1,1,1
00409,PiramideLaplace,5,1,2,1,1,1,1
00409,RatioPiramide,5,1,4,1,1,1,1
00409,DWT,5,1,2,0,1,0,0
00409,DTCWT,5,1,3,1,1,1,1
00409,Curvelet,5,1,2,1,1,1,1
00409,TopHat_Clasico,5,1,3,0,1,0,0
00409,Propuesta_Novedosa,5,1,4,0,1,0,0
00410,VIS,6,1,2,1,1,1,1
00410,IR,6,1,3,0,1,0,0
00410,PiramideLaplace,6,1,2,1,1,1,1
00410,RatioPiramide,6,1,3,1,1,1,1
00410,DWT,6,1,2,1,1,1,1
00410,DTCWT,6,1,3,1,1,1,1
00410,Curvelet,6,1,2,1,1,1,1
