r,m,Fo
2,0.64,1.6152895168432952
2,0.65,1.6122876332151652
2,0.66,1.6092799146381795
2,0.67,1.6063302063628153
2,0.68,1.6033544672978024
2,0.69,1.6004198887587802
2,0.7,1.5974821892959667
2,0.71,1.5945818247220809
2,0.72,1.5916766781050127
2,0.73,1.5888045607205947
2,0.74,1.585947803975042
2,0.75,1.5830966679308593
2,0.76,1.5802984507096924
2,0.77,1.5775021330755379
2,0.78,1.5747274568180674
2,0.79,1.571960697738124
2,0.8,1.5692028735005137
2,0.81,1.5665179557484148
2,0.82,1.5638123722500499
2,0.83,1.5611313808171985
2,0.84,1.5584772353397327
2,0.85,1.5558439237733728
2,0.86,1.553233197132001
2,0.87,1.5506340200557525
2,0.88,1.548058286641244
2,0.89,1.5455121186173997
2,0.9,1.5429751760479524
2,0.91,1.5404656845023654
2,0.92,1.537969112835493
2,0.93,1.535509834283926
2,0.94,1.5330510103424013
2,0.95,1.5306185857349668
2,0.96,1.5282117374234432
2,0.97,1.5258321581230874
2,0.98,1.5234703093179778
2,0.99,1.5211559858903492
2,1.0,1.5186220874475227
2,1.01,1.5164608899201655
2,1.02,1.514179683832466
2,1.03,1.5119070717487013
2,1.04,1.5096588916610603
2,1.05,1.507439544703903
2,1.06,1.5052283207836463
2,1.07,1.5030387528522093
2,1.08,1.500871057756757
2,1.09,1.4987170492569604
2,1.1,1.496571318859077
2,1.11,1.4944745440264393
2,1.12,1.4923682136365573
2,1.13,1.4903041532625287
2,1.14,1.4882456666350932
2,1.15,1.4862050058944192
2,1.16,1.484188404020048
2,1.17,1.4821865391408073
2,1.18,1.4802086084116937
2,1.19,1.4782421864519748
2,1.2,1.4762865968448757
2,1.21,1.4743764861664623
2,1.22,1.4724587306094852
2,1.23,1.4705690486593361
2,1.24,1.4686861503082478
2,1.25,1.4668160541016422
2,1.26,1.4649860140893278
2,1.27,1.4631695584273299
2,1.28,1.461357409482081
2,1.29,1.4595762936660348
2,1.3,1.4577835118110258
2,1.31,1.4560408713304616
2,1.32,1.454302772472947
2,1.33,1.4525615169845174
2,1.34,1.4508667743481103
2,1.35,1.4491584507125228
2,1.36,1.447477654195044
2,1.37,1.4458132764979823
2,1.38,1.444167077799604
2,1.39,1.4425325368935813
2,1.4,1.440896397726684
2,1.41,1.439291773244614
2,1.42,1.4377004310055765
2,1.43,1.4361203796840851
2,1.44,1.4345504711790837
2,1.45,1.4329989728442154
2,1.46,1.4314607943504924
2,1.47,1.42993498351584
2,1.48,1.4284303895384172
2,1.49,1.4269315183780205
2,1.5,1.4254051410393405
2,1.51,1.4239618038929578
2,1.52,1.4225020513640647
2,1.53,1.4210547778967033
2,1.54,1.4196189109518107
2,1.55,1.4181968970564567
2,1.56,1.4167866913070368
2,1.57,1.4153918850360787
2,1.58,1.4140120332741566
2,1.59,1.412648470357528
2,1.6,1.4112548509897815
2,1.61,1.4099312981102126
2,1.62,1.4085821979422786
2,1.63,1.4072665952648062
2,1.64,1.4059480384953478
2,1.65,1.4046401482548587
2,1.66,1.4033548285537698
2,1.67,1.4020612667506294
2,1.68,1.400786972103648
2,1.69,1.399526646868252
2,1.7,1.3982727433724138
2,1.71,1.3970279207741765
2,1.72,1.3958033435059711
2,1.73,1.394575350995335
2,1.74,1.3933566816527474
2,1.75,1.3921446648723572
2,1.76,1.3909637698648878
2,1.77,1.389770954363578
2,1.78,1.3885833223524313
2,1.79,1.3874086725803727
2,1.8,1.3862446597990175
2,1.81,1.3851076247351248
2,1.82,1.3839673963928147
2,1.83,1.3828391291816853
2,1.84,1.3817172474136015
2,1.85,1.380601898506674
2,1.86,1.3794900789072464
2,1.87,1.3783959613944317
2,1.88,1.377289812706621
2,1.89,1.376202386379255
2,1.9,1.375125323692383
2,1.91,1.3740613464836995
2,1.92,1.3729883364137632
2,1.93,1.3719625366040944
2,1.94,1.3708974310433744
2,1.95,1.3698521614349246
2,1.96,1.368826185193161
2,1.97,1.3677804753915
2,1.98,1.366728190097495
2,1.99,1.3658737477269354
2,2.0,1.3647349223810072
3,0.01,1.7597491520559618
3,0.02,1.760750051870111
3,0.03,1.761581551882668
3,0.04,1.7620582080074245
