imagen,particulas,iteraciones,r,m,SSIM_avg,E,SF,SD,PSNR,FO
Athena_APC_4_fennek01_005,6,50,25,0.1214,0.784895,5.851166,8.585382,0.055993,22.788195,1.744174
Athena_APC_4_fennek01_005,8,10,25,0.123,0.784284,5.856593,8.62921,0.056209,22.781189,1.744167
Athena_APC_4_fennek01_005,8,20,25,0.1216,0.784795,5.852041,8.592596,0.056029,22.787048,1.744172
Athena_APC_4_fennek01_005,8,30,1,0.1152,0.802989,5.464285,6.987901,0.042619,23.034881,1.716375
Athena_APC_4_fennek01_005,8,40,25,0.1214,0.784889,5.851208,8.585842,0.055996,22.788122,1.744174
Athena_APC_4_fennek01_005,8,50,25,0.1214,0.784897,5.851149,8.585244,0.055993,22.788217,1.744174
Athena_APC_4_fennek01_005,10,10,1,0.1215,0.802588,5.467473,7.077026,0.04272,23.033127,1.71635
Athena_APC_4_fennek01_005,10,20,25,0.1212,0.784945,5.850682,8.581767,0.055976,22.78877,1.744168
Athena_APC_4_fennek01_005,10,30,25,0.1214,0.784902,5.851105,8.584909,0.055991,22.788271,1.744174
Athena_APC_4_fennek01_005,10,40,25,0.1214,0.784888,5.851243,8.585919,0.055996,22.78811,1.744174
Athena_APC_4_fennek01_005,10,50,25,0.1214,0.784877,5.85133,8.586683,0.056,22.787989,1.744174
Athena_heather_hei_vis,2,10,1,0.0232,0.730138,6.670484,7.140323,0.103977,16.135513,1.725303
Athena_heather_hei_vis,2,20,5,0.113,0.715773,6.738999,10.128654,0.107925,16.106836,1.720254
Athena_heather_hei_vis,2,30,3,0.0481,0.729291,6.689777,8.07319,0.104982,16.131864,1.726832
Athena_heather_hei_vis,2,40,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,2,50,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,4,10,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,4,20,25,0.0539,0.724707,6.748883,8.492509,0.109627,16.11233,1.72944
Athena_heather_hei_vis,4,30,25,0.0515,0.725177,6.744949,8.414489,0.109347,16.114375,1.72944
Athena_heather_hei_vis,4,40,25,0.0516,0.725154,6.745158,8.418424,0.109361,16.114274,1.729441
Athena_heather_hei_vis,4,50,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,6,10,1,0.0574,0.729915,6.677753,7.707125,0.104275,16.134187,1.725977
Athena_heather_hei_vis,6,20,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,6,30,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,6,40,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,6,50,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,8,10,25,0.0489,0.725657,6.740751,8.330959,0.10905,16.116463,1.729416
Athena_heather_hei_vis,8,20,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,8,30,25,0.0516,0.725158,6.74512,8.417782,0.109359,16.11429,1.729441
Athena_heather_hei_vis,8,40,25,0.01,0.72962,6.680185,7.08528,0.104806,16.134962,1.725993
Athena_heather_hei_vis,8,50,25,0.0516,0.725162,6.745071,8.417026,0.109356,16.11431,1.729441
Athena_heather_hei_vis,10,10,25,0.0444,0.726441,6.733317,8.184202,0.10853,16.119879,1.729307
Athena_heather_hei_vis,10,20,25,0.0515,0.725173,6.744985,8.415201,0.10935,16.114357,1.72944
